design,variant,method,metric,value,questions,span_questions,ms_per_query
per-variant,tok1024,qwen4b,hit@5,0.922123,1451,0,7.009
per-variant,tok1024,qwen4b,hit@10,0.956582,1451,0,7.009
per-variant,tok1024,qwen4b,recall@10,0.956582,1451,0,7.009
per-variant,tok1024,qwen4b,mrr@10,0.814818,1451,0,7.009
per-variant,tok1024,qwen4b,category_hit/crosslingual,0.913580,1451,0,7.009
per-variant,tok1024,qwen4b,category_hit/direct_long,0.983498,1451,0,7.009
per-variant,tok1024,qwen4b,category_hit/direct_short,0.956954,1451,0,7.009
per-variant,tok1024,qwen4b,category_hit/vague_long,0.913043,1451,0,7.009
per-variant,tok1024,qwen4b,category_hit/vague_short,0.842105,1451,0,7.009
per-variant,tok1024,qwen4b_hybrid_rerank,hit@1,0.836664,1451,0,902.196
per-variant,tok1024,qwen4b_hybrid_rerank,hit@5,0.966230,1451,0,902.196
per-variant,tok1024,qwen4b_hybrid_rerank,hit@10,0.983460,1451,0,902.196
per-variant,tok1024,qwen4b_hybrid_rerank,recall@10,0.983460,1451,0,902.196
per-variant,tok1024,qwen4b_hybrid_rerank,mrr@10,0.892082,1451,0,902.196
per-variant,tok1024,qwen4b_hybrid_rerank,category_hit/crosslingual,0.938272,1451,0,902.196
per-variant,tok1024,qwen4b_hybrid_rerank,category_hit/direct_long,0.986799,1451,0,902.196
per-variant,tok1024,qwen4b_hybrid_rerank,category_hit/direct_short,0.990066,1451,0,902.196
per-variant,tok1024,qwen4b_hybrid_rerank,category_hit/vague_long,0.963211,1451,0,902.196
per-variant,tok1024,qwen4b_hybrid_rerank,category_hit/vague_short,0.947368,1451,0,902.196
